user-id,game-title,behaviour-name,values
151603712,5105,purchase,1.0
151603712,5105,play,273.0
151603712,1337,purchase,1.0
151603712,1337,play,8.9
151603712,1588,purchase,1.0
151603712,1588,play,2.8
151603712,4013,purchase,1.0
151603712,4013,play,0.5
151603712,3206,purchase,1.0
151603712,3206,play,0.4
151603712,1278,purchase,1.0
151603712,1278,play,0.1
187131847,4013,purchase,1.0
187131847,4013,play,2.3
59945701,5105,purchase,1.0
59945701,5105,play,58.0
59945701,3801,purchase,1.0
59945701,3801,play,22.0
59945701,2329,purchase,1.0
59945701,2329,play,2.3
59945701,1588,purchase,1.0
59945701,1588,play,0.1
59945701,1337,purchase,1.0
59945701,1278,purchase,1.0
53875128,1337,purchase,1.0
53875128,1337,play,71.0
53875128,1821,purchase,1.0
53875128,1821,play,21.0
53875128,735,purchase,1.0
53875128,735,play,10.2
53875128,3801,purchase,1.0
53875128,3801,play,5.9
53875128,4191,purchase,1.0
53875128,4191,play,2.8
53875128,1473,purchase,1.0
53875128,1473,play,0.5
53875128,574,purchase,1.0
53875128,647,purchase,1.0
53875128,5105,purchase,1.0
53875128,814,purchase,1.0
140954425,1588,purchase,1.0
140954425,1588,play,13.0
26122540,4551,purchase,1.0
26122540,4551,play,10.3
26122540,574,purchase,1.0
26122540,1473,purchase,1.0
176410694,4013,purchase,1.0
176410694,4013,play,9.1
197278511,4013,purchase,1.0
197278511,4013,play,0.5
150128162,1588,purchase,1.0
150128162,1588,play,42.0
197455089,4013,purchase,1.0
197455089,4013,play,3.4
297811211,1588,purchase,1.0
297811211,1588,play,10.1
297811211,814,purchase,1.0
297811211,814,play,5.6
218323237,4013,purchase,1.0
218323237,4013,play,14.8
302186258,4013,purchase,1.0
302186258,4013,play,4.2
126340495,4013,purchase,1.0
126340495,4013,play,1784.0
126340495,2329,purchase,1.0
126340495,2329,play,626.0
126340495,4551,purchase,1.0
126340495,4551,play,176.0
126340495,1588,purchase,1.0
126340495,1588,play,16.1
126340495,1278,purchase,1.0
126340495,1278,play,10.2
126340495,3206,purchase,1.0
126340495,3206,play,2.3
126340495,814,purchase,1.0
126340495,4194,purchase,1.0
194895541,4013,purchase,1.0
194895541,4013,play,1.1
30007387,574,purchase,1.0
30007387,1473,purchase,1.0
170625356,4013,purchase,1.0
170625356,4013,play,7.4
159538705,1337,purchase,1.0
167362888,4013,purchase,1.0
167362888,4013,play,135.0
208649703,2329,purchase,1.0
208649703,2329,play,125.0
208649703,814,purchase,1.0
225987202,4013,purchase,1.0
225987202,4013,play,3.8
195071563,4013,purchase,1.0
195071563,4013,play,6.2
254906420,1588,purchase,1.0
254906420,1588,play,1.2
247160953,4013,purchase,1.0
247160953,4013,play,1.9
308653033,814,purchase,1.0
308653033,814,play,0.6
144138643,4013,purchase,1.0
144138643,4013,play,5.2
